,Unnamed: 0,id,pv_area_id,obstacle,type,geometry,Labeler,haus
0,1,3,5,"MULTIPOLYGON (((48.39563903301485 11.99561462452056, 48.39565328054511 11.99561462452056, 48.39565328054511 11.99562803556564, 48.39564159620374 11.99562728404999, 48.39563903301485 11.99561462452056)), ((48.39563012830639 11.99546978523376, 48.39563369018998 11.99549124290588, 48.39562300453854 11.99549928953292, 48.39563012830639 11.99546978523376)), ((48.39561231888485 11.99552342941406, 48.39561944265423 11.99552342941406, 48.39561844395973 11.99553072452545, 48.39561132019022 11.99553072452545, 48.39561231888485 11.99552342941406)))",unknown,"MULTIPOLYGON (((4499782.766311487 5361978.426138767, 4499782.766389116 5361980.01043796, 4499783.759518058 5361980.010389384, 4499783.703802575 5361978.711114803, 4499782.766311487 5361978.426138767)), ((4499772.04046553 5361977.436487235, 4499773.629492602 5361977.832481508, 4499774.225310186 5361976.644226574, 4499772.04046553 5361977.436487235)), ((4499776.012883707 5361975.455911516, 4499776.012923464 5361976.248061579, 4499776.55314359 5361976.136981498, 4499776.553103908 5361975.34483142, 4499776.012883707 5361975.455911516)))",1,0.0
1,2,4,5,"MULTIPOLYGON (((48.39565506148611 11.99548051406982, 48.39567999465358 11.99548856069686, 48.39567999465358 11.99551001836898, 48.3956540627923 11.99550122022629, 48.39565506148611 11.99548051406982)), ((48.39564871996902 11.99557900428772, 48.3956728708927 11.99557975580337, 48.39567187219927 11.99560314416885, 48.39564615678048 11.99560121347549, 48.39564871996902 11.99557900428772)))",dormer,"MULTIPOLYGON (((4499772.835109747 5361980.208970643, 4499773.431127504 5361982.981462864, 4499775.020132978 5361982.981382614, 4499774.36845836 5361980.097840115, 4499772.835109747 5361980.208970643)), ((4499780.128576748 5361979.503440136, 4499780.184361598 5361982.188975743, 4499781.916335536 5361982.077837477, 4499781.773221221 5361979.218337168, 4499780.128576748 5361979.503440136)))",1,0.0
2,3,5,5,"MULTIPOLYGON (((48.39563547113166 11.99555293371322, 48.39564693902778 11.99555218219757, 48.39564437583917 11.99556634475829, 48.39563447243748 11.99556291103363, 48.39563547113166 11.99555293371322)))",chimney,"MULTIPOLYGON (((4499778.197897352 5361978.030289583, 4499778.142308822 5361979.305501337, 4499779.191075782 5361979.020427327, 4499778.936743213 5361977.919199877, 4499778.197897352 5361978.030289583)))",1,0.0
3,4,6,5,"MULTIPOLYGON (((48.39562656642259 11.99543491651657, 48.39563012830639 11.99546442081573, 48.39562300453854 11.99549928953292, 48.39561409982728 11.99550733615997, 48.39560697605717 11.99550733615997, 48.39561310113269 11.99543416500092, 48.39561231888485 11.99543491651657, 48.39562656642259 11.99543491651657)))",tree,"MULTIPOLYGON (((4499769.458308773 5361977.040544292, 4499771.643213772 5361977.436507464, 4499774.225310186 5361976.644226574, 4499774.821138 5361975.654008979, 4499774.821098077 5361974.861858833, 4499769.402579816 5361975.543231654, 4499769.458227429 5361975.456244273, 4499769.458308773 5361977.040544292)))",1,0.0
4,5,7,6,"MULTIPOLYGON (((48.39750156011431 11.99598054265931, 48.39750779318109 11.9959778604503, 48.39750779318109 11.99598590707734, 48.39750156011431 11.99598724818185, 48.39750156011431 11.99598054265931)), ((48.39747395652363 11.99602748131707, 48.39748108003233 11.99602479910806, 48.39748108003233 11.99603418683961, 48.3974757374009 11.99603552794412, 48.39747395652363 11.99602748131707)))",unknown,"MULTIPOLYGON (((4499809.872836603 5362185.534501254, 4499809.674248685 5362186.227615844, 4499810.270104394 5362186.227589504, 4499810.369383087 5362185.534479316, 4499809.872836603 5362185.534501254)), ((4499813.348528129 5362182.464879038, 4499813.149944002 5362183.257009038, 4499813.845109359 5362183.256978738, 4499813.94439285 5362182.662883428, 4499813.348528129 5362182.464879038)))",1,1.0
5,6,8,6,"MULTIPOLYGON (((48.39746141884275 11.99591159820557, 48.39747477542404 11.99589282274246, 48.39748642266323 11.9959067819114, 48.39747306608498 11.99592823958352, 48.39746141884275 11.99591159820557)))",window,"MULTIPOLYGON (((4499804.767272261 5362181.071092245, 4499803.377008393 5362182.55638293, 4499804.410749209 5362183.851488144, 4499805.999631735 5362182.366189126, 4499804.767272261 5362181.071092245)))",1,1.0
6,7,9,6,"MULTIPOLYGON (((48.39737422729709 11.99601138806298, 48.39747484696228 11.99583704447702, 48.39751402624709 11.9958880064483, 48.39750156011431 11.99590946412042, 48.39747840871669 11.99588264203027, 48.39744902423532 11.99593092179254, 48.39746416169753 11.99594701504663, 48.3974916937553 11.99590086936951, 48.39750059813792 11.99591025710106, 48.39741162577994 11.99606503224328, 48.39737422729709 11.99601138806298)))",pvmodule,"MULTIPOLYGON (((4499812.156329948 5362171.375220902, 4499799.246604901 5362182.564526753, 4499803.020558094 5362186.921019952, 4499804.609443866 5362185.534736468, 4499802.623140786 5362182.960432781, 4499806.198130477 5362179.692769845, 4499807.389918446 5362181.375975017, 4499803.972949644 5362184.437643888, 4499804.668159554 5362185.427763775, 4499816.128891068 5362175.533692074, 4499812.156329948 5362171.375220902)))",1,1.0
7,8,10,6,"MULTIPOLYGON (((48.39748597744399 11.99595774388269, 48.39749488182762 11.99594433283761, 48.39750111489521 11.99594835615113, 48.39749844358062 11.99595908498719, 48.3974939198511 11.99596926569939, 48.3974939913893 11.99596981382325, 48.39748597744399 11.99595774388269)), ((48.39743878418481 11.99602077579454, 48.39744501725925 11.99601004695848, 48.39745125033298 11.99601675248101, 48.39744590769844 11.99602882242158, 48.39743878418481 11.99602077579454)))",chimney,"MULTIPOLYGON (((4499808.184501409 5362183.801811296, 4499807.191452392 5362184.792007019, 4499807.489411266 5362185.485099599, 4499808.283872428 5362185.188018817, 4499809.03773575 5362184.684954739, 4499809.078324889 5362184.692907859, 4499808.184501409 5362183.801811296)), ((4499812.851810464 5362178.553800013, 4499812.057365496 5362179.246941433, 4499812.553942855 5362179.940026253, 4499813.44770151 5362179.345895885, 4499812.851810464 5362178.553800013)))",1,1.0
8,9,11,6,"MULTIPOLYGON (((48.39751936887453 11.99589202976182, 48.39752649237687 11.99587861871675, 48.39753717762851 11.99589337086633, 48.39753984894107 11.99592153406098, 48.39751936887453 11.99589202976182)), ((48.39750200533337 11.99594969725564, 48.3975109097142 11.99594835615113, 48.3975189236556 11.99595908498719, 48.3975109097142 11.99596981382325, 48.39749666270416 11.99596847271875, 48.39749933401882 11.99595908498719, 48.39750200533337 11.99594969725564)), ((48.39744590769844 11.99601004695848, 48.39744946945487 11.99600736474946, 48.39746193560044 11.99601943469003, 48.39745748340596 11.99603016352609, 48.39744857901579 11.99602748131707, 48.39745295967278 11.99601754546165, 48.39744590769844 11.99601004695848)))",shadow,"MULTIPOLYGON (((4499803.318512871 5362187.515096976, 4499802.325456333 5362188.307262762, 4499803.417911964 5362189.495393848, 4499805.50341911 5362189.792344777, 4499803.318512871 5362187.515096976)), ((4499807.588724983 5362185.584110288, 4499807.489459892 5362186.574265833, 4499808.283973781 5362187.465366273, 4499809.078408351 5362186.57419512, 4499808.97902876 5362184.989957665, 4499808.283876835 5362185.287033941, 4499807.588724983 5362185.584110288)), ((4499812.057369837 5362179.345956665, 4499811.858768403 5362179.742026273, 4499812.752613589 5362181.128200054, 4499813.547067007 5362180.633089374, 4499813.348405059 5362179.642945888, 4499812.612671744 5362180.130099189, 4499812.057369837 5362179.345956665)))",1,1.0
9,10,12,7,"MULTIPOLYGON (((48.39875720328127 11.99615537888869, 48.39876788827442 11.99614330894812, 48.39877412118606 11.9961580610977, 48.39876344641783 11.996169090271, 48.39875720328127 11.99615537888869)), ((48.39874651828585 11.99611782796248, 48.39875187100746 11.99611008167267, 48.39875898411361 11.99612319238051, 48.39875097036757 11.99613123900755, 48.39874651828585 11.99611782796248)))",unknown,"MULTIPOLYGON (((4499822.825381964 5362325.159217586, 4499821.931670309 5362326.347407402, 4499823.024074511 5362327.040450218, 4499823.840719027 5362325.853400785, 4499822.825381964 5362325.159217586)), ((4499820.044739662 5362323.971182388, 4499819.471163279 5362324.566419892, 4499820.44202588 5362325.357343447, 4499821.03782932 5362324.466203913, 4499820.044739662 5362323.971182388)))",1,2.0
