,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,pv_area_id,time_created,obstacle,type
0,0,0,0,63,26,2020-08-14 20:42:00,"MULTIPOLYGON (((48.41298536073344 11.98604494464271, 48.41299248206995 11.98606774341934, 48.4129773492287 11.98607579004638, 48.41297289839219 11.98605030906074, 48.41298536073344 11.98604494464271)), ((48.41299337223693 11.98608115446441, 48.41300138373916 11.98610663545005, 48.41298625090057 11.98611602318161, 48.4129800197304 11.98608785998695, 48.41299337223693 11.98608115446441)))",window
1,1,1,1,64,26,2020-08-14 20:42:00,"MULTIPOLYGON (((48.41296043604785 11.98600506908769, 48.41296577705292 11.98602116234178, 48.41295420487453 11.98602786786432, 48.41295064420375 11.98601311571474, 48.41296043604785 11.98600506908769)))",chimney
2,2,2,2,65,27,2020-08-14 21:01:00,"MULTIPOLYGON (((48.41305243394616 11.9863079062723, 48.41304442245198 11.98631192958583, 48.4130462027841 11.98633204615344, 48.41305599460982 11.9863253406309, 48.41305243394616 11.9863079062723)), ((48.41306222577067 11.98635082161654, 48.41305421427802 11.98635618603457, 48.4130568847757 11.98637362039317, 48.41306578643365 11.98636825597514, 48.41306222577067 11.98635082161654)))",window
3,3,3,3,66,27,2020-08-14 21:01:00,"MULTIPOLYGON (((48.41302661912702 11.98626499092807, 48.41301860762878 11.98627035534609, 48.41302038796184 11.9862891308092, 48.41303196012517 11.98628242528666, 48.41302661912702 11.98626499092807)))",chimney
4,4,4,4,69,29,2020-08-14 21:13:00,"MULTIPOLYGON (((48.41248783558263 11.98650454252494, 48.4124780436475 11.98651795357002, 48.41244510712461 11.98643480509056, 48.4124682517105 11.98640798300041, 48.41250652927173 11.98650454252494, 48.41252878365454 11.98648174374832, 48.41267744268191 11.98685993521942, 48.41264183576884 11.98690150945915, 48.41248783558263 11.98650454252494)))",pvmodule
5,5,5,5,70,29,2020-08-14 21:13:00,"MULTIPOLYGON (((48.41250652927173 11.98642944067253, 48.41248961593427 11.98644419282211, 48.4124967373402 11.98646296828521, 48.41251543102604 11.98645089834465, 48.41250652927173 11.98642944067253)))",chimney
6,6,6,6,71,30,2020-08-14 21:17:00,"MULTIPOLYGON (((48.41321974111079 11.98729777029026, 48.41322597225155 11.98731252243984, 48.41321440013238 11.98732191017139, 48.41320638866371 11.98730447581279, 48.41321974111079 11.98729777029026)), ((48.41318947555903 11.98719986966121, 48.41319570670353 11.9872159629153, 48.41318502474109 11.98723071506488, 48.41318146408646 11.98720925739276, 48.41318947555903 11.98719986966121)))",chimney
7,7,7,7,81,35,2020-08-14 21:37:00,"MULTIPOLYGON (((48.412411167403 11.98868459127683, 48.41240226563048 11.98868861459035, 48.41240137545312 11.98870739005345, 48.412411167403 11.98870068453092, 48.412411167403 11.98868459127683)))",unknown
8,8,8,8,82,35,2020-08-14 21:37:00,"MULTIPOLYGON (((48.4123515254972 11.988716777785, 48.41237645048128 11.98879590295094, 48.41239247367887 11.98878115080136, 48.41237288977 11.98870336673993, 48.4123515254972 11.988716777785)))",pvmodule
9,9,9,9,83,35,2020-08-14 21:37:00,"MULTIPOLYGON (((48.4123497451407 11.98867118023175, 48.4123524156754 11.98868593238133, 48.41236576834672 11.98867788575429, 48.41236131745667 11.98866045139569, 48.4123497451407 11.98867118023175)))",chimney
10,10,10,10,85,37,2020-08-14 21:44:00,"MULTIPOLYGON (((48.41216001691005 11.98771030948594, 48.41216713836213 11.98773176715806, 48.41215823654686 11.98773444936707, 48.41215378563864 11.98771165059045, 48.41216001691005 11.98771030948594)), ((48.4121546758203 11.98776261256173, 48.41216802854355 11.98775322483018, 48.41216446781771 11.98774249599412, 48.41215378563864 11.98774517820313, 48.4121546758203 11.98776261256173)), ((48.41215823654686 11.98776663587525, 48.4121698089064 11.98775858924821, 48.41217425981321 11.98776931808427, 48.4121626874547 11.98777736471131, 48.41215823654686 11.98776663587525)), ((48.41209058269987 11.9876848285003, 48.41208524160287 11.98769153402284, 48.41208880233426 11.98770628617242, 48.4120977041617 11.98769823954537, 48.41209058269987 11.9876848285003)))",window
11,11,11,11,86,37,2020-08-14 21:44:00,"MULTIPOLYGON (((48.41204963427507 11.98769689844087, 48.41206476739244 11.98773042605355, 48.41208435141996 11.98771701500848, 48.41206832812528 11.98767544076875, 48.41204963427507 11.98769689844087)), ((48.41209414343091 11.98780821011498, 48.4121048256225 11.98780150459245, 48.4121333114558 11.9878658776088, 48.41215823654686 11.98783637330964, 48.41211906854116 11.98773579047158, 48.41207722995628 11.9877746825023, 48.41209414343091 11.98780821011498)))",dormer
12,12,12,12,87,37,2020-08-14 21:44:00,"MULTIPOLYGON (((48.41212440963462 11.98769019291833, 48.41211906854116 11.98769555733636, 48.41212262927019 11.98770628617242, 48.41212975072753 11.98769823954537, 48.41212440963462 11.98769019291833)))",chimney
13,13,13,13,88,38,2020-08-14 21:46:00,"MULTIPOLYGON (((48.41226086199138 11.98820135309735, 48.41225107001257 11.98820805861989, 48.41225641109214 11.98822415187398, 48.41226442271051 11.98821610524694, 48.41226086199138 11.98820135309735)))",chimney
14,14,14,14,91,40,2020-08-14 22:02:00,"MULTIPOLYGON (((48.41189191025673 11.98807415545394, 48.41188211820684 11.98808354318549, 48.41188834951154 11.98809427202155, 48.4118999219325 11.98808354318549, 48.41189191025673 11.98807415545394)), ((48.41199428157444 11.98813182294776, 48.41198894046729 11.98813718736579, 48.41199161102094 11.98815328061987, 48.41200140304972 11.98814389288832, 48.41199428157444 11.98813182294776)))",chimney
15,15,15,15,95,44,2020-08-14 22:14:00,"MULTIPOLYGON (((48.41171673477908 11.9876952201705, 48.41170605250594 11.98770997232009, 48.411714064211 11.9877300888877, 48.41172385629324 11.98771801894713, 48.41171673477908 11.9876952201705)), ((48.41162326481309 11.98778239196349, 48.41160101003395 11.98780384963561, 48.41160991194677 11.98782664841223, 48.4116339471036 11.98780787294913, 48.41162326481309 11.98778239196349)), ((48.4117341308669 11.9878301024437, 48.41172563667165 11.98784274166632, 48.41173097780644 11.98785481160689, 48.41174166007431 11.98784676497985, 48.4117341308669 11.9878301024437)), ((48.41172385629324 11.98784676497985, 48.41171317402161 11.98785347050238, 48.4117176249684 11.98786956375647, 48.41172741704995 11.98786285823394, 48.41172385629324 11.98784676497985)), ((48.41169715060995 11.98787090486098, 48.41168379776304 11.98788297480155, 48.41169180947161 11.98789638584662, 48.41170249174773 11.98788968032408, 48.41169715060995 11.98787090486098)), ((48.41168112719323 11.98788163369704, 48.41167489586314 11.98788968032408, 48.41167934681329 11.98790711468268, 48.41168735852256 11.98789638584662, 48.41168112719323 11.98788163369704)))",window
16,16,16,16,96,44,2020-08-14 22:14:00,"MULTIPOLYGON (((48.41167756643329 11.98771533673812, 48.41169269966136 11.98776093429137, 48.41168784101628 11.98779255151749, 48.41166647645566 11.98780328035355, 48.4116562018683 11.98780384963561, 48.41163264921626 11.98775365948677, 48.41167756643329 11.98771533673812)))",dormer
17,17,17,17,97,44,2020-08-14 22:14:00,"MULTIPOLYGON (((48.41171317402161 11.98780787294913, 48.41170249174773 11.98781860178519, 48.41170872307443 11.98783603614379, 48.4117176249684 11.98782530730773, 48.41171317402161 11.98780787294913)))",chimney
18,18,18,18,100,46,2020-08-14 22:27:00,"MULTIPOLYGON (((48.41149207408999 11.9880544078507, 48.41148317215654 11.98806647779127, 48.41148406234995 11.98807988883634, 48.41149652505612 11.98806916000028, 48.41149207408999 11.9880544078507)), ((48.41147605060866 11.98807318331381, 48.41146358789744 11.98808391214987, 48.41147070944708 11.98810536982199, 48.41148406234995 11.98809195877691, 48.41147605060866 11.98807318331381)), ((48.41144845460118 11.9880892765679, 48.41143599188322 11.98810268761297, 48.41144489382493 11.98812146307607, 48.41145379576508 11.98810939313551, 48.41144845460118 11.9880892765679)), ((48.41142174877324 11.98810536982199, 48.41141017624346 11.98812012197157, 48.41141462721676 11.98813219191213, 48.41142352916221 11.98812146307607, 48.41142174877324 11.98810536982199)))",unknown
19,19,19,19,101,46,2020-08-14 22:27:00,"MULTIPOLYGON (((48.41146981925343 11.9879270029225, 48.41145913692841 11.98793504954954, 48.4114671486724 11.98796053053518, 48.41148050157619 11.98794980169912, 48.41146981925343 11.9879270029225)), ((48.41137545863826 11.98801015140196, 48.41135854492457 11.98802758576055, 48.41136655668439 11.98805172564169, 48.41138614098083 11.98803429128309, 48.41137545863826 11.98801015140196)))",window
20,20,20,20,102,46,2020-08-14 22:27:00,"MULTIPOLYGON (((48.41142887032873 11.98794309617658, 48.4114493447952 11.98798735262533, 48.41144489382493 11.98800746919294, 48.41143421149469 11.98802490355154, 48.41140661546451 11.98802892686506, 48.41138881156614 11.98798064710279, 48.41142887032873 11.98794309617658)))",dormer
21,21,21,21,103,46,2020-08-14 22:27:00,"MULTIPOLYGON (((48.4114680388661 11.98803026796957, 48.41145913692841 11.98804367901464, 48.4114618075099 11.98806245447775, 48.41147516041509 11.98804367901464, 48.4114680388661 11.98803026796957)))",chimney
22,22,22,22,104,48,2020-08-15 01:49:00,"MULTIPOLYGON (((48.41125775953101 11.98825536774303, 48.41126844189829 11.98827816651966, 48.41125775953101 11.98828487204219, 48.41125063795153 11.98826475547458, 48.41125775953101 11.98825536774303)), ((48.41122037122773 11.98819367693569, 48.41121146924672 11.98820172356273, 48.41120523785908 11.98818831251766, 48.41121146924672 11.98818160699512, 48.41122037122773 11.98819367693569)), ((48.4112310536029 11.98828487204219, 48.41122571241563 11.98829023646022, 48.41122838300933 11.98830767081882, 48.41123639478965 11.98830096529628, 48.4112310536029 11.98828487204219)), ((48.41117675150587 11.98833851622249, 48.41116873971614 11.98834388064052, 48.41117586130706 11.98835997389461, 48.41118832408879 11.98834924505855, 48.41117675150587 11.98833851622249)), ((48.41121503003933 11.98830632971431, 48.41120523785908 11.98831437634136, 48.41121057904854 11.98833315180446, 48.41122215162375 11.98832644628192, 48.41121503003933 11.98830632971431)), ((48.41107437854225 11.98824329780246, 48.41106636673641 11.988250003325, 48.41107348834169 11.98826341437007, 48.41108150014642 11.98825402663852, 48.41107437854225 11.98824329780246)), ((48.41110820615302 11.98831705855037, 48.41110108455262 11.98832376407291, 48.41111621795229 11.98837070273067, 48.41112601014967 11.98835595058109, 48.41110820615302 11.98831705855037)))",unknown
23,23,23,23,107,48,2020-08-15 01:49:00,"MULTIPOLYGON (((48.41118387309566 11.98817221926357, 48.41120078686745 11.98820574687625, 48.41119633587542 11.98824061559345, 48.41117230051172 11.98824329780246, 48.41115538673049 11.98819904135372, 48.41118387309566 11.98817221926357)), ((48.41114826513669 11.98820440577175, 48.41116250832328 11.98824195669796, 48.41115716712877 11.98827414320613, 48.41113669254467 11.98827682541515, 48.41111977875155 11.9882325689664, 48.41114826513669 11.98820440577175)))",dormer
24,24,24,24,109,48,2020-08-15 01:49:00,"MULTIPOLYGON (((48.41115360633214 11.98831705855037, 48.41114381414007 11.98832644628192, 48.41114915533598 11.98834656284954, 48.41115983772609 11.98833315180446, 48.41115360633214 11.98831705855037)), ((48.41121681043553 11.98825804995204, 48.41120701825563 11.98827280210163, 48.41120968885035 11.98828487204219, 48.41121859083167 11.98827682541515, 48.41121681043553 11.98825804995204)))",chimney
25,25,25,25,115,52,2020-08-15 01:53:00,"MULTIPOLYGON (((48.41117517549146 11.98763480549968, 48.41117873628657 11.98765089875377, 48.4111858578761 11.98766028648532, 48.41119297946464 11.98766028648532, 48.41120188144888 11.9876562631718, 48.41119208926613 11.98762407666362, 48.41117517549146 11.98763480549968)))",unknown
26,26,26,26,116,53,2020-08-15 01:55:00,"MULTIPOLYGON (((48.41133505070662 11.98756005328534, 48.41132347815709 11.98756944101689, 48.41132881933412 11.98758821648, 48.41133861149056 11.98758016985295, 48.41133505070662 11.98756005328534)))",unknown
27,27,27,27,117,53,2020-08-15 01:55:00,"MULTIPOLYGON (((48.41133059972635 11.98760028642056, 48.41132080756835 11.98761235636113, 48.41132525854949 11.98762844961522, 48.4113377212946 11.98761637967465, 48.41133059972635 11.98760028642056)))",chimney
28,28,28,28,119,56,2020-08-15 01:57:00,"MULTIPOLYGON (((48.41085071648671 11.98903877246041, 48.41083647321279 11.9890548657145, 48.41084537525945 11.98906693565506, 48.41085427730458 11.989056206819, 48.41085071648671 11.98903877246041)), ((48.41082133972989 11.98906559455056, 48.41080620624248 11.98907900559563, 48.410812437679 11.98909912216324, 48.41082668095966 11.98908437001366, 48.41082133972989 11.98906559455056)))",unknown
29,29,29,29,195,115,2020-08-15 14:58:00,"MULTIPOLYGON (((48.41066277149352 11.98775650124092, 48.41064941837499 11.98776320676346, 48.41065654003864 11.98778600554009, 48.41066989315532 11.98777393559952, 48.41066277149352 11.98775650124092)))",chimney
30,30,30,30,67,28,2020-08-14 21:10:00,"MULTIPOLYGON (((48.41314451977136 11.98685995511179, 48.41314719026431 11.9868800716794, 48.41313561812721 11.98688141278391, 48.41313294763366 11.98685995511179, 48.41314451977136 11.98685995511179)), ((48.4131463001 11.98691896371011, 48.41314897059287 11.98694176248674, 48.41313650829169 11.98694042138223, 48.41313294763366 11.98691896371011, 48.4131463001 11.98691896371011)))",window
31,31,31,31,68,28,2020-08-14 21:10:00,"MULTIPOLYGON (((48.41312226565804 11.9868800716794, 48.41313650829169 11.98687470726137, 48.41313650829169 11.98689214161996, 48.41312315582275 11.98689616493349, 48.41312226565804 11.9868800716794)))",chimney
32,32,32,32,72,31,2020-08-14 21:20:00,"MULTIPOLYGON (((48.41308291505521 11.98756718685575, 48.41308291505521 11.98758596231886, 48.4130731232347 11.98760071446844, 48.41305888058328 11.98761278440901, 48.41304819859212 11.9876114433045, 48.41303573626626 11.9875940089459, 48.41308291505521 11.98756718685575)), ((48.41314166593878 11.98772811939665, 48.41313543478768 11.98774018933721, 48.413130983965 11.98775225927778, 48.41312920363583 11.98776969363638, 48.41313009380042 11.98778846909948, 48.41315323807451 11.98777774026342, 48.41314166593878 11.98772811939665)))",unknown
33,33,33,33,73,31,2020-08-14 21:20:00,"MULTIPOLYGON (((48.41304819859212 11.98770666172453, 48.41303484609999 11.98771470835157, 48.41303929693109 11.98773482491919, 48.41305442975391 11.98772811939665, 48.41304819859212 11.98770666172453)))",chimney
34,34,34,34,74,31,2020-08-14 21:20:00,"MULTIPOLYGON (((48.4130134821053 11.98766776969381, 48.41302772476944 11.98771604945608, 48.41304107726341 11.98770666172453, 48.41303039526851 11.98766374638029, 48.4130134821053 11.98766776969381)))",ladder
35,35,35,35,75,32,2020-08-14 21:25:00,"MULTIPOLYGON (((48.41287867028536 11.98801604188746, 48.41287243910203 11.98802140630549, 48.41287421944022 11.98803213514155, 48.41288045062331 11.98802677072352, 48.41287867028536 11.98801604188746)))",unknown
36,36,36,36,76,32,2020-08-14 21:25:00,"MULTIPOLYGON (((48.41287510960925 11.98797983206576, 48.41286798825633 11.98798385537928, 48.41286976859464 11.98799994863337, 48.41287956045434 11.98799324311083, 48.41287510960925 11.98797983206576)), ((48.41288223096121 11.98797714985674, 48.41288579163677 11.98799190200632, 48.41290003433667 11.98798653758829, 48.41289291298722 11.9879704443342, 48.41288223096121 11.98797714985674)), ((48.41293208039685 11.9880589572317, 48.41291961804252 11.98806432164973, 48.41292495905189 11.98808443821734, 48.4129374214049 11.98807236827677, 48.41293208039685 11.9880589572317)))",window
37,37,37,37,77,32,2020-08-14 21:25:00,"MULTIPOLYGON (((48.41289914416807 11.98792887009447, 48.41288935231215 11.98793691672152, 48.41289291298722 11.98795032776659, 48.41290359501104 11.98794094003504, 48.41289914416807 11.98792887009447)), ((48.41291071635898 11.98801335967844, 48.41291516720094 11.98802677072352, 48.41292762955636 11.98801738299196, 48.41292139837904 11.9880053130514, 48.41291071635898 11.98801335967844)))",chimney
38,38,38,38,78,33,2020-08-14 21:29:00,"MULTIPOLYGON (((48.41276663345224 11.98816341686172, 48.41277108430682 11.98818353342933, 48.41278621720946 11.98818085122032, 48.4127817663562 11.9881593935482, 48.41276663345224 11.98816341686172)), ((48.41274437917352 11.98817951011581, 48.41274972020132 11.98819694447441, 48.41273814797373 11.98820499110145, 48.41273102660163 11.98818755674285, 48.41274437917352 11.98817951011581)), ((48.41272924625844 11.98824254202766, 48.41273369711628 11.98825863528175, 48.4127239052285 11.98826534080429, 48.41271678385439 11.98824790644569, 48.41272924625844 11.98824254202766)), ((48.41271055265122 11.9882505886547, 48.41271678385439 11.98826936411781, 48.41270254110317 11.98827741074485, 48.41269809024259 11.98825863528175, 48.41271055265122 11.9882505886547)), ((48.41271322316695 11.98834446597023, 48.41272657574353 11.98833105492515, 48.41273547745931 11.98835653591079, 48.4127194543698 11.98836592364234, 48.41271322316695 11.98834446597023)), ((48.41277820567333 11.98831093835754, 48.4127844368682 11.98833105492515, 48.41276930396503 11.9883391015522, 48.4127621825973 11.98831764388008, 48.41277820567333 11.98831093835754)))",window
39,39,39,39,79,33,2020-08-14 21:29:00,"MULTIPOLYGON (((48.41273725780228 11.98825863528175, 48.41274348900219 11.98827338743133, 48.41273280694475 11.98828009295387, 48.41272835608682 11.98826534080429, 48.41273725780228 11.98825863528175)), ((48.41276040225519 11.98820901441497, 48.41275061037254 11.988214378833, 48.41274704968748 11.98819962668342, 48.41275595139967 11.98819023895187, 48.41276040225519 11.98820901441497)))",chimney
40,40,40,40,80,34,2020-08-14 21:31:00,"MULTIPOLYGON (((48.41262856327288 11.98774037315002, 48.41261610084417 11.98774976088157, 48.41262411240582 11.98777390076271, 48.41263568465936 11.98776317192665, 48.41262856327288 11.98774037315002)))",chimney
41,41,41,41,84,36,2020-08-14 21:39:00,"MULTIPOLYGON (((48.41220253896895 11.98895835583849, 48.4121918567979 11.98896774357004, 48.41219541752184 11.98898115461511, 48.41220609969216 11.98897042577905, 48.41220253896895 11.98895835583849)), ((48.41220520951139 11.98900395339174, 48.41219719788371 11.98901334112329, 48.41219986842639 11.98902272885484, 48.4122096604151 11.98901602333231, 48.41220520951139 11.98900395339174)), ((48.41221678186024 11.98884704416437, 48.41220609969216 11.98885509079141, 48.4122132211378 11.9888711840455, 48.41222390330438 11.98886313741846, 48.41221678186024 11.98884704416437)), ((48.41221945240191 11.98887788956804, 48.4122132211378 11.98888191288156, 48.4122176720408 11.98889666503114, 48.41222390330438 11.98889130061311, 48.41221945240191 11.98887788956804)), ((48.41225327925092 11.98893287485284, 48.41224437745073 11.98893958037538, 48.41224793817099 11.98895567362947, 48.41225773015043 11.98894896810693, 48.41225327925092 11.98893287485284)), ((48.41224615781089 11.9889060527627, 48.41223814618967 11.98891275828523, 48.41223992655004 11.98892616933031, 48.41224793817099 11.98891946380777, 48.41224615781089 11.9889060527627)))",unknown
42,42,42,42,89,39,2020-08-14 22:01:00,"MULTIPOLYGON (((48.41217066049079 11.98661657173214, 48.41215107649651 11.98662998277721, 48.41215997831302 11.98667021591243, 48.41218401320987 11.98664473492679, 48.41217066049079 11.98661657173214)))",unknown
43,43,43,43,90,39,2020-08-14 22:01:00,"MULTIPOLYGON (((48.41237718215326 11.98715837795314, 48.4123665000189 11.98714899022159, 48.4123504768131 11.98721738655147, 48.41235937859474 11.98721872765598, 48.41237718215326 11.98715837795314)), ((48.41236382948495 11.98712753254947, 48.41233089288807 11.98724554974613, 48.41232021074396 11.98723884422359, 48.41235136699136 11.98711680371341, 48.41236382948495 11.98712753254947)), ((48.41235136699136 11.98709400493679, 48.41230151698637 11.98727103073177, 48.41228816429818 11.98726298410472, 48.41233712413776 11.98708327610073, 48.41235136699136 11.98709400493679)), ((48.41233178306663 11.98706986505565, 48.41227036070845 11.9872938295084, 48.41225878837179 11.98728712398586, 48.41231575984992 11.98706584174213, 48.41233178306663 11.98706986505565)), ((48.41229706609069 11.98710071045932, 48.41225522765227 11.98725761968669, 48.41224365531218 11.98725225526866, 48.4122828232219 11.9870966871458, 48.41229706609069 11.98710071045932)), ((48.41226769016945 11.9871328969675, 48.41224543567238 11.98721738655147, 48.41223297314976 11.98721202213344, 48.41225166693253 11.98712753254947, 48.41226769016945 11.9871328969675)), ((48.41223742405102 11.98715301353511, 48.41222763206768 11.98718922335681, 48.41221784008243 11.98718520004329, 48.41222229098505 11.98715301353511, 48.41223742405102 11.98715301353511)))",pvmodule
44,44,44,44,92,41,2020-08-14 22:06:00,"MULTIPOLYGON (((48.41212900846462 11.98842661957547, 48.41212099682492 11.988433325098, 48.41212544773602 11.98844539503857, 48.41213256919296 11.98843868951603, 48.41212900846462 11.98842661957547)), ((48.41206402512858 11.98857011775776, 48.41205423311182 11.9885768232803, 48.41205868402878 11.9885955987434, 48.41206847604464 11.98858486990734, 48.41206402512858 11.98857011775776)), ((48.41206491531182 11.9885044036369, 48.41205334292842 11.98851379136845, 48.41205601347865 11.98852988462254, 48.41206847604464 11.98851781468197, 48.41206491531182 11.9885044036369)), ((48.4121761880949 11.98846685271069, 48.41216639609977 11.98847758154675, 48.41217173718825 11.98848831038281, 48.41217796845745 11.98847892265126, 48.4121761880949 11.98846685271069)))",unknown
45,45,45,45,93,41,2020-08-14 22:06:00,"MULTIPOLYGON (((48.41208895025359 11.98839577417179, 48.4121005226289 11.98842393736645, 48.41209963244627 11.98844673614308, 48.41208271897348 11.98844673614308, 48.41206847604464 11.98841186742588, 48.41208895025359 11.98839577417179)), ((48.41206224476203 11.988433325098, 48.41207737787563 11.98845612387463, 48.41207203677723 11.98848965148732, 48.41205423311182 11.9884869692783, 48.4120408803587 11.98844941835209, 48.41206224476203 11.988433325098)), ((48.41212366737162 11.98847624044224, 48.41214592192202 11.98849367480084, 48.41216016482915 11.98852586130902, 48.412137910285 11.98855000119015, 48.41211654591344 11.98852452020451, 48.41212366737162 11.98847624044224)), ((48.41208271897348 11.98851513247296, 48.41210942445426 11.9885406134586, 48.41211743609577 11.98856877665325, 48.41208895025359 11.98859157542988, 48.41207559750957 11.98855670671269, 48.41208271897348 11.98851513247296)))",dormer
46,46,46,46,94,42,2020-08-14 22:08:00,"MULTIPOLYGON (((48.41179004459961 11.98727630884855, 48.41178292309471 11.98728703768461, 48.41178826422347 11.98730447204321, 48.41179627591558 11.98729776652067, 48.41179004459961 11.98727630884855)))",chimney
47,47,47,47,98,45,2020-08-14 22:17:00,"MULTIPOLYGON (((48.41156208825773 11.98748916603811, 48.41156030787362 11.9874690494705, 48.41161015860526 11.98750123597867, 48.41161282917877 11.98751867033727, 48.41156208825773 11.98748916603811)))",unknown
48,48,48,48,99,45,2020-08-14 22:17:00,"MULTIPOLYGON (((48.41151579825051 11.98746636726148, 48.41150689632122 11.98747441388853, 48.41151401786477 11.98749587156064, 48.41152559037094 11.98748111941106, 48.41151579825051 11.98746636726148)), ((48.41154784518307 11.98754012800939, 48.41153627268199 11.98755353905447, 48.41154250402904 11.98756292678602, 48.4115549667209 11.98754951574094, 48.41154784518307 11.98754012800939)), ((48.4115567471052 11.98742479302175, 48.41154339422142 11.9874341807533, 48.41154962556761 11.98744759179838, 48.41156030787362 11.98743686296232, 48.4115567471052 11.98742479302175)))",window
49,49,49,49,105,48,2020-08-15 01:49:00,"MULTIPOLYGON (((48.41125775953101 11.98825536774303, 48.41126844189829 11.98827816651966, 48.41125775953101 11.98828487204219, 48.41125063795153 11.98826475547458, 48.41125775953101 11.98825536774303)), ((48.41122037122773 11.98819367693569, 48.41121146924672 11.98820172356273, 48.41120523785908 11.98818831251766, 48.41121146924672 11.98818160699512, 48.41122037122773 11.98819367693569)), ((48.4112310536029 11.98828487204219, 48.41122571241563 11.98829023646022, 48.41122838300933 11.98830767081882, 48.41123639478965 11.98830096529628, 48.4112310536029 11.98828487204219)), ((48.41117675150587 11.98833851622249, 48.41116873971614 11.98834388064052, 48.41117586130706 11.98835997389461, 48.41118832408879 11.98834924505855, 48.41117675150587 11.98833851622249)), ((48.41121503003933 11.98830632971431, 48.41120523785908 11.98831437634136, 48.41121057904854 11.98833315180446, 48.41122215162375 11.98832644628192, 48.41121503003933 11.98830632971431)), ((48.41107437854225 11.98824329780246, 48.41106636673641 11.988250003325, 48.41107348834169 11.98826341437007, 48.41108150014642 11.98825402663852, 48.41107437854225 11.98824329780246)), ((48.41110820615302 11.98831705855037, 48.41110108455262 11.98832376407291, 48.41111621795229 11.98837070273067, 48.41112601014967 11.98835595058109, 48.41110820615302 11.98831705855037)))",unknown
50,50,50,50,106,48,2020-08-15 01:49:00,"MULTIPOLYGON (((48.41118387309566 11.98817221926357, 48.41120078686745 11.98820574687625, 48.41119633587542 11.98824061559345, 48.41117230051172 11.98824329780246, 48.41115538673049 11.98819904135372, 48.41118387309566 11.98817221926357)), ((48.41114826513669 11.98820440577175, 48.41116250832328 11.98824195669796, 48.41115716712877 11.98827414320613, 48.41113669254467 11.98827682541515, 48.41111977875155 11.9882325689664, 48.41114826513669 11.98820440577175)))",dormer
51,51,51,51,108,48,2020-08-15 01:49:00,"MULTIPOLYGON (((48.41115360633214 11.98831705855037, 48.41114381414007 11.98832644628192, 48.41114915533598 11.98834656284954, 48.41115983772609 11.98833315180446, 48.41115360633214 11.98831705855037)), ((48.41121681043553 11.98825804995204, 48.41120701825563 11.98827280210163, 48.41120968885035 11.98828487204219, 48.41121859083167 11.98827682541515, 48.41121681043553 11.98825804995204)))",chimney
