,Unnamed: 0,id,pv_area_id,time_created,obstacle,type
0,0,4649,82,2021-06-03 16:14:13,"MULTIPOLYGON (((48.40867220371088 11.98857454419756, 48.40867798138252 11.98858025730276, 48.40867328980632 11.98859085202837, 48.40866733408625 11.98858597040796, 48.40867220371088 11.98857454419756)), ((48.40874162479478 11.98866171599054, 48.40873876711743 11.98866194397831, 48.40873937248211 11.98866805941486, 48.40874192747712 11.98866760343933, 48.40874162479478 11.98866171599054)), ((48.40869892878062 11.98855850458765, 48.40869333805984 11.9885590544405, 48.4086936941567 11.98856747657681, 48.40869875073219 11.98856775820875, 48.40869892878062 11.98855850458765)), ((48.40871066217234 11.98876482010508, 48.40870560559685 11.98877949178839, 48.40869604439602 11.98877895534659, 48.40869676549217 11.98877215594673, 48.40869008867595 11.98876074314737, 48.40869423720442 11.98874633968496, 48.40871066217234 11.98876482010508)), ((48.40865057082631 11.98867457718277, 48.40865327716249 11.98867621333027, 48.40861737369604 11.98876807898903, 48.40861538845601 11.98876645625258, 48.40865057082631 11.98867457718277)), ((48.40869658744374 11.98847044766569, 48.4086983857329 11.98847370654964, 48.40862819904075 11.98864603847885, 48.40862675684844 11.9886435842576, 48.40869658744374 11.98847044766569)))",unknown
1,1,4697,104,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41079490499244 11.98651142270184, 48.4107822640683 11.98651558012581, 48.41078733824207 11.98653931767559, 48.41080033524859 11.98653448969936, 48.41079490499244 11.98651142270184)), ((48.4108314034354 11.98649747521496, 48.41082321354088 11.98649707288361, 48.41082312452028 11.98651410491085, 48.4108313144148 11.98651517779446, 48.4108314034354 11.98649747521496)), ((48.41073276861883 11.98653583080387, 48.4107247567655 11.98654025644875, 48.41072742738327 11.98655339927292, 48.41073526119542 11.98654749841309, 48.41073276861883 11.98653583080387)))",window
2,2,6757,2056,2021-06-03 16:14:13,"MULTIPOLYGON (((48.40002603450271 11.9784852351203, 48.40002768173232 11.97849055930519, 48.39999259128965 11.97850423857117, 48.39998981325918 11.97849949106121, 48.40002603450271 11.9784852351203)), ((48.39998766740871 11.97850253536844, 48.39998993791438 11.97850614293957, 48.39995838233742 11.97854948743725, 48.39995547965173 11.97854246004963, 48.39998766740871 11.97850253536844)))",ladder
3,3,6758,2068,2021-06-03 16:14:13,"MULTIPOLYGON (((48.40082432712077 11.97697522102833, 48.40085777868999 11.97695792078018, 48.40085202683646 11.97694306134224, 48.40082432712077 11.97697522102833)), ((48.40080127518767 11.97700072883606, 48.40080590516264 11.97699523030758, 48.40082166488516 11.97702983080387, 48.40081730202413 11.97703425644875, 48.40080127518767 11.97700072883606)))",shadow
4,4,6761,2076,2021-06-03 16:14:13,"MULTIPOLYGON (((48.48122044411264 11.94109030919266, 48.48123022280288 11.94109299140167, 48.48122666691552 11.94110640244675, 48.48121688822528 11.94110237913323, 48.48122044411264 11.94109030919266)), ((48.48118577421089 11.94116004662705, 48.48119377495745 11.94116138773155, 48.48119288598561 11.9411707754631, 48.48118310729537 11.9411694343586, 48.48118577421089 11.94116004662705)), ((48.48119821981665 11.94110372023773, 48.48120888747872 11.94110372023773, 48.48120533159136 11.94111444907379, 48.48119821981665 11.94111444907379, 48.48119821981665 11.94110372023773)))",window
5,5,4650,84,2021-06-03 16:14:13,"MULTIPOLYGON (((48.40950937015527 11.99264877852154, 48.40950331660915 11.99264865782213, 48.40950358367736 11.99266017790985, 48.40950634338221 11.99265999015522, 48.40950644130722 11.99266345020485, 48.40950895174841 11.99266328927231, 48.40950884492112 11.99266076799583, 48.40951010014172 11.99266062047434, 48.40950937015527 11.99264877852154)), ((48.40951908253589 11.99272039350224, 48.40951908253589 11.99272479232502, 48.40951584210826 11.99272463139248, 48.40951573528097 11.9927202325697, 48.40951908253589 11.99272039350224)), ((48.4095239876887 11.99274838235331, 48.40952043568149 11.99274870421839, 48.40952074726107 11.99275436367941, 48.4095239876887 11.99275452461195, 48.4095239876887 11.99274838235331)))",unknown
6,6,4651,86,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41023536886778 11.99011599694157, 48.41023191482647 11.99011735145712, 48.41018966513562 11.99000091676378, 48.41019161471048 11.99000137273932, 48.41023536886778 11.99011599694157)), ((48.41018873040794 11.99001232956314, 48.41018525856229 11.99001179312134, 48.41018508051893 11.99001970563793, 48.41018855236457 11.99001997385883, 48.41018873040794 11.99001232956314)), ((48.41006507038779 11.9900056240406, 48.41006373506254 11.99000795756245, 48.41010671473119 11.99012476776505, 48.41010892246894 11.99012309138441, 48.41006507038779 11.9900056240406)))",unknown
7,7,4652,86,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41014715728188 11.99006342564488, 48.41013878924365 11.99006329153442, 48.41013887826534 11.99007589791679, 48.41014724630356 11.99007495914364, 48.41014715728188 11.99006342564488)))",chimney
8,8,4653,86,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41014737983609 11.99006515566969, 48.41014737983609 11.99006515566969, 48.41014933831312 11.99006488744879, 48.4101494273348 11.99006958131456, 48.41015058461668 11.99006984953547, 48.41015071814921 11.99007495914364, 48.41014862613965 11.99007507984305, 48.41014862613965 11.99007735972071, 48.41014337386034 11.99007749383116, 48.41014350739287 11.99007549558544, 48.41014724630356 11.99007495914364, 48.41014737983609 11.99006515566969)))",shadow
9,9,4654,87,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41092505068606 11.9928457116394, 48.41094614848477 11.99290968232441, 48.41089967991547 11.99295367055225, 48.41087786995478 11.99289265029716, 48.41092505068606 11.9928457116394)), ((48.41094641554551 11.99291276686478, 48.41090146032042 11.99295755975533, 48.41092700913151 11.99303078406143, 48.41097045101239 11.99298652761269, 48.41094641554551 11.99291276686478)), ((48.41097668242973 11.99299859755325, 48.41093083700216 11.99304620676327, 48.41095175676037 11.99310816579151, 48.41099626688422 11.9930616294651, 48.41097668242973 11.99299859755325)))",pvmodule
