,Unnamed: 0,id,labeler_id,area,geometry,haus
0,2,5,1,"MULTIPOLYGON (((48.3956119626814 11.99543491651657, 48.39564936245974 11.99543223430755, 48.39568676221057 11.99544296314361, 48.39567251468968 11.99569509079101, 48.39563155304492 11.99568436195495, 48.39559450945708 11.99568704416397, 48.3956119626814 11.99543491651657)))","MULTIPOLYGON (((4499769.458225395 5361975.416635106, 4499769.259813121 5361979.575431948, 4499770.054529428 5361983.734174789, 4499788.72526532 5361982.148950662, 4499787.930543429 5361977.594129158, 4499788.128971361 5361973.474940711, 4499769.458225395 5361975.416635106)))",0.0
1,3,6,1,"MULTIPOLYGON (((48.39755231506451 11.99583570337251, 48.3975772473022 11.99586520767167, 48.39760574127316 11.99590409970239, 48.39750779318109 11.99607710218385, 48.3974979983615 11.99606503224328, 48.3974570381865 11.99612940525964, 48.39740984490043 11.9960690555568, 48.39737155597582 11.99602211689904, 48.39737244641626 11.99601138806298, 48.39747484696228 11.99583570337251, 48.39751669756087 11.9958880064483, 48.39751929733634 11.99589148163795, 48.39755231506451 11.99583570337251)))","MULTIPOLYGON (((4499799.1476928 5362191.178844801, 4499801.332621942 5362193.951164431, 4499804.212730567 5362197.119511764, 4499817.023135761 5362186.227295343, 4499816.12930523 5362185.138167516, 4499820.895959236 5362180.583266287, 4499816.426810954 5362175.335648644, 4499812.950793331 5362171.078140032, 4499812.15632127 5362171.177190164, 4499799.147295551 5362182.564531332, 4499803.020571589 5362187.218065234, 4499803.277923744 5362187.507143901, 4499799.1476928 5362191.178844801)))",1.0
2,4,7,1,"MULTIPOLYGON (((48.39864634634488 11.99601992733343, 48.39867483971706 11.99599310524328, 48.39866772659916 11.99597731232643, 48.3987157989116 11.99593007333143, 48.39872292224644 11.99594348437651, 48.39875586765697 11.99591129786833, 48.39878792263052 11.99597432978018, 48.39882353924413 11.99605747825964, 48.39879861784083 11.99608460068703, 48.39882978237255 11.9961516559124, 48.39880127886356 11.99618354208334, 48.39876922389841 11.99621438748701, 48.3987380593296 11.99614330894812, 48.39871312766079 11.99616610772475, 48.39867929180504 11.99608832366331, 48.39864634634488 11.99601992733343)))","MULTIPOLYGON (((4499812.794850972 5362312.832552887, 4499810.808849201 5362316.001052362, 4499809.639369601 5362315.210137948, 4499806.141624003 5362320.555849554, 4499807.134728753 5362321.347907239, 4499804.751528008 5362325.01148541, 4499809.419108152 5362328.57573281, 4499815.576300512 5362332.535967546, 4499817.584555706 5362329.764665299, 4499822.550039848 5362333.229895215, 4499824.911029647 5362330.060256963, 4499827.194938533 5362326.495707268, 4499821.931530663 5362323.030481734, 4499823.619631904 5362320.258053645, 4499817.859668347 5362316.495810342, 4499812.794850972 5362312.832552887)))",2.0
3,5,8,1,"MULTIPOLYGON (((48.39977220480506 11.99338346593112, 48.39984343662908 11.99336603157252, 48.39988795646842 11.99337273709506, 48.39989329884652 11.99358999602527, 48.39984966940893 11.99358597271174, 48.39980514953605 11.99359401933879, 48.39980366436821 11.99355125427246, 48.39977576639861 11.99355915062159, 48.39977606202664 11.99349626898766, 48.39977695242501 11.99345871806145, 48.39977665679698 11.99345856778354, 48.3997742812299 11.99342519044876, 48.39977220480506 11.99338346593112)))","MULTIPOLYGON (((4499617.578045769 5362438.03791577, 4499616.287702961 5362445.958870499, 4499616.784614095 5362450.909359613, 4499632.87201255 5362451.502186453, 4499632.573732435 5362446.650692043, 4499633.169187652 5362441.700115408, 4499630.00254872 5362441.535206919, 4499630.587014744 5362438.432957338, 4499625.930815991 5362438.466185644, 4499623.150287271 5362438.565410189, 4499623.139157095 5362438.532537729, 4499620.667642523 5362438.26857004, 4499617.578045769 5362438.03791577)))",3.0
4,6,9,1,"MULTIPOLYGON (((48.40014644685282 11.9944636208906, 48.40028000545845 11.99445289205454, 48.40028356701648 11.99450921844385, 48.40028712857424 11.99458834360979, 48.40015446037904 11.99459773134134, 48.40014780198202 11.99452221393585, 48.40014644685282 11.9944636208906)))","MULTIPOLYGON (((4499697.563034636 5362479.647290692, 4499696.769554389 5362494.498825045, 4499700.940342851 5362494.894597993, 4499706.799296609 5362495.290268387, 4499707.493505032 5362480.537753683, 4499701.901656458 5362479.797702567, 4499697.563034636 5362479.647290692)))",4.0
5,7,10,1,"MULTIPOLYGON (((48.40074787649532 11.99697285054933, 48.4008039704892 11.99693395851861, 48.40085561252408 11.99691652416002, 48.40090636412798 11.99711500762712, 48.40085650290352 11.99713646529924, 48.40079773782626 11.99717133401643, 48.40078527249811 11.99712037204515, 48.40079150516255 11.99711500762712, 48.40078972440136 11.99710293768655, 48.40079506668476 11.99710025547754, 48.40079150516255 11.99708416222345, 48.40078616287879 11.99708818553697, 48.40077725907125 11.99705599902879, 48.40078349173669 11.99705197571527, 48.40077903983288 11.99703320025217, 48.40077458792869 11.99703722356569, 48.40077151764872 11.99702739715576, 48.40076390335702 11.99703320025217, 48.40074787649532 11.99697285054933)))","MULTIPOLYGON (((4499883.364901484 5362546.51636479, 4499880.485313357 5362552.754010251, 4499879.194559877 5362558.496556033, 4499893.891535684 5362564.139594895, 4499895.480216837 5362558.595066743, 4499898.061901337 5362552.060417545, 4499894.288351161 5362550.674404206, 4499893.891159928 5362551.367477336, 4499892.99742803 5362551.169486149, 4499892.798839828 5362551.76354466, 4499891.607193378 5362551.367544991, 4499891.905084373 5362550.77348344, 4499889.521784788 5362549.783466959, 4499889.223896984 5362550.47653753, 4499887.833641164 5362549.981535776, 4499888.13153485 5362549.486482689, 4499887.403921714 5362549.145095086, 4499887.833589849 5362548.298385962, 4499883.364901484 5362546.51636479)))",5.0
6,8,11,1,"MULTIPOLYGON (((48.40049242322481 11.99182149762738, 48.40048797129553 11.99190464610684, 48.4004861905237 11.99201327557195, 48.40030811302675 11.9920052289449, 48.40030989380479 11.99188989395726, 48.40031252420745 11.99180781841278, 48.40049242322481 11.99182149762738)))","MULTIPOLYGON (((4499501.926737705 5362518.135158167, 4499508.083504961 5362517.639508226, 4499516.127068173 5362517.440711562, 4499515.529344054 5362497.638861857, 4499506.989233634 5362497.837708498, 4499500.911871856 5362498.130801192, 4499501.926737705 5362518.135158167)))",6.0
7,9,12,1,"MULTIPOLYGON (((48.40058659503687 11.99166115022934, 48.40065426418868 11.9916531036023, 48.40071659095943 11.99167322016991, 48.40070412561138 11.9920312950734, 48.4006404088875 11.99202105402946, 48.40057412965699 11.99202324844635, 48.40058659503687 11.99166115022934)))","MULTIPOLYGON (((4499490.054701634 5362528.608081651, 4499489.459639675 5362536.132833522, 4499490.949883233 5362543.063312211, 4499517.463661959 5362541.674585935, 4499516.704676867 5362534.589469751, 4499516.866457649 5362527.219319118, 4499490.054701634 5362528.608081651)))",7.0
8,10,13,1,"MULTIPOLYGON (((48.40150689256661 11.99254613775576, 48.40156209535638 11.99254479665126, 48.40161551735397 11.99255150217379, 48.40160928479047 11.9927499856409, 48.40155497241913 11.99274328011836, 48.40150273773355 11.99274525046349, 48.40150244072611 11.99274462122287, 48.40150689256661 11.99254613775576)))","MULTIPOLYGON (((4499555.5935141 5362630.937358742, 4499555.494759356 5362637.075822706, 4499555.991794923 5362643.016212655, 4499570.688325907 5362642.321873604, 4499570.191297106 5362636.282474346, 4499570.336688155 5362630.474054691, 4499570.290093447 5362630.441032004, 4499555.5935141 5362630.937358742)))",8.0
9,11,14,1,"MULTIPOLYGON (((48.40195601690278 11.99683683844167, 48.40202101315575 11.99683549733717, 48.4020308071045 11.99692803354818, 48.40204416248608 11.99695485563833, 48.40205217571335 11.99706214399892, 48.40197293374374 11.99706750841695, 48.40189369165066 11.99708494277555, 48.40187855550651 11.99685829611379, 48.40195601690278 11.99683683844167)))","MULTIPOLYGON (((4499873.298234331 5362680.859816455, 4499873.199172707 5362688.087291669, 4499880.050941932 5362689.176139551, 4499882.036998355 5362690.661172179, 4499889.98106161 5362691.551984563, 4499890.377998667 5362682.740401373, 4499891.668643691 5362673.928777889, 4499874.886762086 5362672.246189769, 4499873.298234331 5362680.859816455)))",9.0
