,Unnamed: 0,id,time_created,labeler_id,area,gables,gutters,roof_type,building_type,slope
0,0,46,2020-08-14 22:27:21,4,"MULTIPOLYGON (((48.41156506988548 11.98794711949011, 48.41159444621267 11.98802356244703, 48.41154993661942 11.98806781889578, 48.41140305468535 11.98819388271948, 48.41135943512018 11.98823143364569, 48.41132916846114 11.98816303731581, 48.41137456844294 11.9881268274941, 48.41136922727073 11.98810000540396, 48.41134074100937 11.98803429128309, 48.41148406234995 11.98790688635488, 48.4115134387239 11.98796589495321, 48.4115232308448 11.98798735262533, 48.41156506988548 11.98794711949011)))","MULTILINESTRING ((48.4115232308448 11.98798735262533, 48.41154993661942 11.98806781889578), (48.4115134387239 11.98796589495321, 48.41136922727073 11.98810000540396), (48.41137456844294 11.9881268274941, 48.41140305468535 11.98819388271948))","MULTILINESTRING ((48.41148406234995 11.98790688635488, 48.41134074100937 11.98803429128309), (48.41154548565797 11.98807050110479, 48.41140305468535 11.98819388271948))",Gabled,Residential,35.0
1,1,39,2020-08-14 22:01:16,4,"MULTIPOLYGON (((48.412105677208 11.98687540490207, 48.41206294842884 11.98675604660091, 48.41214217467842 11.986682285853, 48.41210834775549 11.98658438522396, 48.41214573540584 11.98655219871578, 48.41215908813144 11.98659109074649, 48.41222229098505 11.9865374465662, 48.41225344729244 11.98661657173214, 48.41235136699136 11.98653610546169, 48.41237362144205 11.98662327725467, 48.41228104286301 11.98669435579357, 48.41221338917946 11.98675738770542, 48.41222318116552 11.98678823310909, 48.41223653387078 11.98678286869106, 48.41233623395928 11.98705645401058, 48.41238964464057 11.98719458777484, 48.41226858034913 11.98729785282192, 48.41221338917946 11.98716106016216, 48.41230151698637 11.98708864051876, 48.4121991462872 11.98680969078121, 48.41217956230388 11.98682846624431, 48.41217333103489 11.98681639630374, 48.412105677208 11.98687540490207)))","MULTILINESTRING ((48.41225344729244 11.98661657173214, 48.41228104286301 11.98669435579357), (48.41225344729244 11.98661657173214, 48.41219202483961 11.98667155701694, 48.41215908813144 11.98659109074649), (48.41221338917946 11.98675738770542, 48.41217333103489 11.98679493863163), (48.41222318116552 11.98678823310909, 48.41217956230388 11.98682846624431))",,Flat,Unknown,35.0
2,2,41,2020-08-14 22:06:01,4,"MULTIPOLYGON (((48.41214236119459 11.98833542446896, 48.41217529791359 11.98840784411236, 48.41221394049011 11.98850065469742, 48.41205601347865 11.98865326623722, 48.41201595521013 11.98856341223522, 48.41198657912647 11.98849903921887, 48.41206491531182 11.98842930178448, 48.41205868402878 11.98841589073941, 48.41214236119459 11.98833542446896)))","MULTILINESTRING ((48.41217529791359 11.98840784411236, 48.41201595521013 11.98856341223522))","MULTILINESTRING ((48.41221394049011 11.98850065469742, 48.41205601347865 11.98865326623722), (48.41214236119459 11.98833542446896, 48.41205868402878 11.98841589073941))",Gabled,Residential,35.0
3,3,42,2020-08-14 22:08:19,4,"MULTIPOLYGON (((48.41179449553969 11.98722802908629, 48.41185769884647 11.98738762052267, 48.4118140796713 11.98741980703085, 48.41177402121217 11.98746808679312, 48.41170636685401 11.98730849535673, 48.41174998612155 11.98726423890799, 48.41179449553969 11.98722802908629)))","MULTILINESTRING ((48.41174998612155 11.98726423890799, 48.4118140796713 11.98741980703085))","MULTILINESTRING ((48.41170636685401 11.98730849535673, 48.41177402121217 11.98746808679312), (48.41179449553969 11.98722802908629, 48.41185769884647 11.98738762052267))",Gabled,Residential,35.0
4,4,43,2020-08-14 22:09:23,4,"MULTIPOLYGON (((48.41183810068082 11.98741773663975, 48.41180961468213 11.98743919431187, 48.41178112866749 11.98746869861103, 48.41182029693352 11.98755855261303, 48.41184522217801 11.98753307162739, 48.41187192778354 11.98751161395527, 48.41183810068082 11.98741773663975)))","MULTILINESTRING ((48.41180961468213 11.98743919431187, 48.41184522217801 11.98753307162739))","MULTILINESTRING ((48.41183810068082 11.98741773663975, 48.41187192778354 11.98751161395527), (48.41178112866749 11.98746869861103, 48.41182029693352 11.98755855261303))",Gabled,Residential,35.0
5,5,45,2020-08-14 22:17:37,4,"MULTIPOLYGON (((48.41160659784032 11.98728129483945, 48.41166713081012 11.98742881633527, 48.41161371936992 11.98747977830656, 48.41162885261701 11.98753342248685, 48.41158434305391 11.98756829120405, 48.41153894325938 11.98762327648885, 48.41146416703889 11.98745295621641, 48.41151045709312 11.98739528872259, 48.41156119806569 11.9873617611099, 48.41155763729733 11.98734030343778, 48.41160659784032 11.98728129483945)))","MULTILINESTRING ((48.41156119806569 11.9873617611099, 48.41161371936992 11.98747977830656), (48.41151490805765 11.98739394761808, 48.41158434305391 11.98756829120405))","MULTILINESTRING ((48.41161371936992 11.98747977830656, 48.41162885261701 11.98753342248685), (48.41146683762008 11.98744759179838, 48.41153894325938 11.98762327648885))",Gabled,Residential,35.0
6,6,47,2020-08-15 01:49:45,4,"MULTIPOLYGON (((48.41122571241563 11.98813198612834, 48.41126043012304 11.98819770024921, 48.41129425761005 11.98829023646022, 48.41115538673049 11.98842702911998, 48.41112868074863 11.98835997389461, 48.41109930415238 11.98839081929828, 48.41106814713782 11.98831169413234, 48.41104322151242 11.98825402663852, 48.41107259814107 11.98822318123485, 48.41108684134883 11.98826207326557, 48.41122571241563 11.98813198612834)))","MULTILINESTRING ((48.41106814713782 11.98831169413234, 48.41109574335167 11.98828487204219), (48.41108684134883 11.98826207326557, 48.41109574335167 11.98828487204219), (48.41109574335167 11.98828487204219, 48.41111621795229 11.98833315180446), (48.41111621795229 11.98833315180446, 48.41112868074863 11.98835997389461), (48.41126043012304 11.98819770024921, 48.41111621795229 11.98833315180446))","MULTILINESTRING ((48.41129425761005 11.98829023646022, 48.41115538673049 11.98842702911998), (48.41122571241563 11.98813198612834, 48.41108684134883 11.98826207326557), (48.41107259814107 11.98822318123485, 48.41104322151242 11.98825402663852), (48.41112868074863 11.98835997389461, 48.41109930415238 11.98839081929828))",Gabled,Residential,35.0
7,7,48,2020-08-15 01:49:45,4,"MULTIPOLYGON (((48.41122571241563 11.98813198612834, 48.41126043012304 11.98819770024921, 48.41129425761005 11.98829023646022, 48.41115538673049 11.98842702911998, 48.41112868074863 11.98835997389461, 48.41109930415238 11.98839081929828, 48.41106814713782 11.98831169413234, 48.41104322151242 11.98825402663852, 48.41107259814107 11.98822318123485, 48.41108684134883 11.98826207326557, 48.41122571241563 11.98813198612834)))","MULTILINESTRING ((48.41106814713782 11.98831169413234, 48.41109574335167 11.98828487204219), (48.41108684134883 11.98826207326557, 48.41109574335167 11.98828487204219), (48.41109574335167 11.98828487204219, 48.41111621795229 11.98833315180446), (48.41111621795229 11.98833315180446, 48.41112868074863 11.98835997389461), (48.41126043012304 11.98819770024921, 48.41111621795229 11.98833315180446))","MULTILINESTRING ((48.41129425761005 11.98829023646022, 48.41115538673049 11.98842702911998), (48.41122571241563 11.98813198612834, 48.41108684134883 11.98826207326557), (48.41107259814107 11.98822318123485, 48.41104322151242 11.98825402663852), (48.41112868074863 11.98835997389461, 48.41109930415238 11.98839081929828))",Gabled,Residential,35.0
8,8,49,2020-08-15 01:49:45,4,"MULTIPOLYGON (((48.41122571241563 11.98813198612834, 48.41126043012304 11.98819770024921, 48.41129425761005 11.98829023646022, 48.41115538673049 11.98842702911998, 48.41112868074863 11.98835997389461, 48.41109930415238 11.98839081929828, 48.41106814713782 11.98831169413234, 48.41104322151242 11.98825402663852, 48.41107259814107 11.98822318123485, 48.41108684134883 11.98826207326557, 48.41122571241563 11.98813198612834)))","MULTILINESTRING ((48.41106814713782 11.98831169413234, 48.41109574335167 11.98828487204219), (48.41108684134883 11.98826207326557, 48.41109574335167 11.98828487204219), (48.41109574335167 11.98828487204219, 48.41111621795229 11.98833315180446), (48.41111621795229 11.98833315180446, 48.41112868074863 11.98835997389461), (48.41126043012304 11.98819770024921, 48.41111621795229 11.98833315180446))","MULTILINESTRING ((48.41129425761005 11.98829023646022, 48.41115538673049 11.98842702911998), (48.41122571241563 11.98813198612834, 48.41108684134883 11.98826207326557), (48.41107259814107 11.98822318123485, 48.41104322151242 11.98825402663852), (48.41112868074863 11.98835997389461, 48.41109930415238 11.98839081929828))",Gabled,Residential,35.0
9,9,50,2020-08-15 01:50:44,4,"MULTIPOLYGON (((48.41132735725051 11.98816248724989, 48.41127038466496 11.98820942590765, 48.41129620037569 11.98828586886458, 48.41135762391065 11.98823222468428, 48.41132735725051 11.98816248724989)))",,,Flat,Residential,35.0
