,Unnamed: 0,id,time_created,labeler_id,area,gables,gutters,roof_type,building_type,slope,image_centroid
0,0,2,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.40433436057272 11.99018318566561, 48.4043694390997 11.99020434829474, 48.40438428960299 11.9902116573143, 48.40440043997049 11.9902211791563, 48.40443323928353 11.99023968639851, 48.40441807716896 11.99029609325409, 48.40440294176391 11.99037521842003, 48.404306787426 11.99031755092621, 48.4043210325131 11.99024110796928, 48.40433436057272 11.99018318566561)))","MULTILINESTRING ((48.40440043997049 11.9902211791563, 48.40439098479393 11.99024483623982), (48.4043210325131 11.99024110796928, 48.40441807716896 11.99029609325409), (48.40437508371546 11.99025017383575, 48.40438428960299 11.9902116573143), (48.40439098479393 11.99024483623982, 48.40437508371546 11.99025017383575), (48.40436431086834 11.99022504153728, 48.4043694390997 11.99020434829474), (48.40437508371546 11.99025017383575, 48.40436431086834 11.99022504153728))","MULTILINESTRING ((48.404306787426 11.99031755092621, 48.40440294176391 11.99037521842003), (48.40443323928353 11.99023968639851, 48.40440043997049 11.9902211791563))",Gabled,Residential,35.0,POINT (48.40437 11.99028)
1,1,3,2021-03-06 17:14:00,8,"MULTIPOLYGON (((48.40150130227555 11.99890400611687, 48.40159835236911 11.99903409325409, 48.40156807986286 11.99908103191185, 48.40153869772445 11.99913199388313, 48.40144253799872 11.99900324785042, 48.4014710297693 11.99895094477463, 48.40150130227555 11.99890400611687)))","MULTILINESTRING ((48.4014710297693 11.99895094477463, 48.40156807986286 11.99908103191185))","MULTILINESTRING ((48.40144253799872 11.99900324785042, 48.40153869772445 11.99913199388313), (48.40150130227555 11.99890400611687, 48.40159835236911 11.99903409325409))",Gabled,Residential,35.0,POINT (48.40152 11.999018)
2,2,7,2021-03-06 17:14:00,8,"MULTIPOLYGON (((48.39599045232347 11.9951905018177, 48.39603408509343 11.99523744047546, 48.3960777178634 11.9952977901783, 48.39597887628246 11.99548018039131, 48.3959334625831 11.99541848958397, 48.39588982981314 11.99537289203072, 48.39599045232347 11.9951905018177)))","MULTILINESTRING ((48.39603408509343 11.99523744047546, 48.3959334625831 11.99541848958397))","MULTILINESTRING ((48.3960777178634 11.9952977901783, 48.39597887628246 11.99548018039131), (48.39599045232347 11.9951905018177, 48.39588982981314 11.99537289203072))",Gabled,Residential,35.0,POINT (48.395986 11.995334)
3,3,8,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.39610275260159 11.99562898280334, 48.39614816618401 11.99566385152054, 48.39619001791683 11.99571213128281, 48.3961241236992 11.99586769940567, 48.39607871011678 11.99582076074791, 48.39603952977117 11.99578455092621, 48.39606090086878 11.99573358895493, 48.39606891503038 11.99570676686478, 48.39607960057918 11.99568665029716, 48.39610275260159 11.99562898280334)))","MULTILINESTRING ((48.39614816618401 11.99566385152054, 48.39607871011678 11.99582076074791), (48.39610453352639 11.99573895337296, 48.39609740982719 11.99570140244675), (48.39610453352639 11.99573895337296, 48.39606891503038 11.99570676686478), (48.39607960057918 11.99568665029716, 48.39609740982719 11.99570140244675), (48.39606090086878 11.99573358895493, 48.39607603872958 11.99574834110451), (48.39610453352639 11.99573895337296, 48.39607603872958 11.99574834110451))","MULTILINESTRING ((48.39609740982719 11.99570140244675, 48.39607960057918 11.99568665029716), (48.39607603872958 11.99574834110451, 48.39606090086878 11.99573358895493), (48.39619001791683 11.99571213128281, 48.3961241236992 11.99586769940567), (48.39610275260159 11.99562898280334, 48.39607960057918 11.99568665029716))",Gabled,Residential,35.0,POINT (48.396117 11.995747)
4,4,9,2021-03-06 17:14:00,8,"MULTIPOLYGON (((48.39561539540841 11.99543057175827, 48.39564923329488 11.99542923065376, 48.39568663306413 11.99544130059433, 48.39567060459159 11.99569476934624, 48.39563231435164 11.99568404051018, 48.39559491458239 11.99568538161468, 48.39561539540841 11.99543057175827)))","MULTILINESTRING ((48.39564923329488 11.99542923065376, 48.39563231435164 11.99568404051018), (48.39564923329488 11.99542923065376, 48.39563231435164 11.99568404051018))","MULTILINESTRING ((48.39568663306413 11.99544130059433, 48.39567060459159 11.99569476934624), (48.39561539540841 11.99543057175827, 48.39559491458239 11.99568538161468))",Gabled,Residential,35.0,POINT (48.395643 11.995562)
5,5,10,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.3965105618223 11.99767285152054, 48.39653460412281 11.99769833250618, 48.39655686551217 11.99772649570084, 48.39650254772213 11.99783646627045, 48.39647672451047 11.99781098528481, 48.39645446312111 11.99778282209015, 48.3965105618223 11.99767285152054)))","MULTILINESTRING ((48.39645446312111 11.99778282209015, 48.3965105618223 11.99767285152054, 48.3965105618223 11.99767285152054), (48.39653460412281 11.99769833250618, 48.39647672451047 11.99781098528481))","MULTILINESTRING ((48.39655686551217 11.99772649570084, 48.39650254772213 11.99783646627045))",Gabled,Residential,35.0,POINT (48.396507 11.997756)
6,6,11,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.39660367136178 11.99741091286278, 48.39663839906502 11.99744444047546, 48.39666155086718 11.9974685803566, 48.39668559312327 11.99749942576027, 48.3965947668225 11.99767376934624, 48.39657072456641 11.99764158283806, 48.39654757276425 11.99761610185242, 48.39651373551494 11.99757989203072, 48.39660367136178 11.99741091286278)))","MULTILINESTRING ((48.39666155086718 11.9974685803566, 48.39657072456641 11.99764158283806), (48.39663839906502 11.99744444047546, 48.39654757276425 11.99761610185242))","MULTILINESTRING ((48.39668559312327 11.99749942576027, 48.3965947668225 11.99767376934624), (48.39660367136178 11.99741091286278, 48.39651373551494 11.99757989203072))",Gabled,Residential,35.0,POINT (48.396601 11.997541)
7,7,12,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.39676741304238 11.99759461838532, 48.39678789343404 11.99765496808815, 48.39681104518113 11.99772470552254, 48.39666412063226 11.99783735830116, 48.39664720204784 11.99778237301636, 48.39663206436705 11.99773141104508, 48.39667391560219 11.9976992245369, 48.39666590153588 11.99767642576027, 48.39676741304238 11.99759461838532)))","MULTILINESTRING ((48.3966908341866 11.99775152761269, 48.39664720204784 11.99778237301636), (48.39678789343404 11.99765496808815, 48.39668816283117 11.9977354343586), (48.39667391560219 11.9976992245369, 48.39668816283117 11.9977354343586), (48.39668816283117 11.9977354343586, 48.3966908341866 11.99775152761269))","MULTILINESTRING ((48.39676741304238 11.99759461838532, 48.39666590153588 11.99767642576027), (48.39681104518113 11.99772470552254, 48.39666412063226 11.99783735830116), (48.39667391560219 11.9976992245369, 48.39663206436705 11.99773141104508))",Gabled,Residential,35.0,POINT (48.396722 11.997718)
8,8,13,2021-03-06 17:14:00,8,"MULTIPOLYGON (((48.39681091856047 11.99780382820702, 48.39677271823183 11.99782635876274, 48.39673612071417 11.99785747238731, 48.39677886234063 11.99798621842003, 48.39681537081323 11.99794866749382, 48.39685098883528 11.99792318650818, 48.39681091856047 11.99780382820702)))","MULTILINESTRING ((48.39677271823183 11.99782635876274, 48.39681537081323 11.99794866749382))","MULTILINESTRING ((48.39681091856047 11.99780382820702, 48.39685098883528 11.99792318650818), (48.39673612071417 11.99785747238731, 48.39677886234063 11.99798621842003))",Gabled,Residential,35.0,POINT (48.396794 11.997891)
9,9,14,2021-03-06 17:14:00,8,"MULTIPOLYGON (((48.39682038486992 11.99801066501236, 48.39684264613501 11.99804553372955, 48.3968640169495 11.99807772023773, 48.39681949441932 11.99814075214958, 48.39682661802415 11.99814879877663, 48.3967669578337 11.99823999388313, 48.39673935386499 11.99819573743439, 48.39671620214929 11.9981622098217, 48.39682038486992 11.99801066501236)))","MULTILINESTRING ((48.39684264613501 11.99804553372955, 48.39673935386499 11.99819573743439))","MULTILINESTRING ((48.39682661802415 11.99814879877663, 48.3967669578337 11.99823999388313), (48.39682038486992 11.99801066501236, 48.39671620214929 11.9981622098217))",Gabled,Residential,35.0,POINT (48.396791 11.998126)
