,id,pv_area_id,time_created,segment,gutter,azimuth,slope
0,703,219,2020-09-01 11:12:05,"MULTIPOLYGON (((48.40924614590879 11.99034931216297, 48.40918204912293 11.99040966186529, 48.40922299985709 11.99054511342005, 48.40923546311728 11.99053438458409, 48.40925949939654 11.99061753306324, 48.40931380354039 11.9905638888834, 48.40924614590879 11.99034931216297)))","MULTILINESTRING ((48.40918204912293 11.99040966186529, 48.40922299985709 11.99054511342005))",9783740757026710.0,35.0
1,675,200,2020-09-01 11:11:48,"MULTIPOLYGON (((48.41207739207091 11.98480514211366, 48.41207027060624 11.98478234333711, 48.41202487124608 11.98481587094948, 48.41203466326842 11.98483464641252, 48.41207739207091 11.98480514211366)))","MULTILINESTRING ((48.41207027060624 11.98478234333711, 48.41202487124608 11.98481587094948))",2.81398805144397e+16,35.0
2,676,200,2020-09-01 11:11:48,"MULTIPOLYGON (((48.41203466326842 11.98483464641252, 48.41204089455447 11.98486146850257, 48.4120854037175 11.98483062309921, 48.41207739207091 11.98480514211366, 48.41203466326842 11.98483464641252)))","MULTILINESTRING ((48.4120854037175 11.98483062309921, 48.41204089455447 11.98486146850257))",-1.53592246680116e+16,35.0
3,677,201,2020-09-01 11:11:50,"MULTIPOLYGON (((48.41215898253461 11.98429320265816, 48.41215275126306 11.9842556517321, 48.41209577960276 11.98427979161291, 48.41210290106392 11.98431466032996, 48.41215898253461 11.98429320265816)))","MULTILINESTRING ((48.41215275126306 11.9842556517321, 48.41209577960276 11.98427979161291))",1.45520435058266e+16,35.0
4,678,201,2020-09-01 11:11:50,"MULTIPOLYGON (((48.41210290106392 11.98431466032996, 48.41211180288893 11.98436294009204, 48.41216877453123 11.98433611800222, 48.41215898253461 11.98429320265816, 48.41210290106392 11.98431466032996)))","MULTILINESTRING ((48.41216877453123 11.98433611800222, 48.41211180288893 11.98436294009204))",-1.63176946815079e+16,35.0
5,679,202,2020-09-01 11:11:51,"MULTIPOLYGON (((48.4116674994364 11.98528240221322, 48.41158359391275 11.9853451152431, 48.41159872716884 11.98538803058719, 48.41168797380679 11.98532397645283, 48.4116674994364 11.98528240221322)))","MULTILINESTRING ((48.4116674994364 11.98528240221322, 48.41158359391275 11.9853451152431))",2847046788232080.0,35.0
6,680,202,2020-09-01 11:11:51,"MULTIPOLYGON (((48.41159872716884 11.98538803058719, 48.41162298990807 11.98547686236572, 48.41170844816905 11.98540980714096, 48.41168797380679 11.98532397645283, 48.41159872716884 11.98538803058719)))","MULTILINESTRING ((48.41170844816905 11.98540980714096, 48.41162298990807 11.98547686236572))",-1.50179959508445e+16,35.0
7,681,203,2020-09-01 11:11:52,"MULTIPOLYGON (((48.41232557303322 11.98565166124754, 48.41234515696016 11.9856462968296, 48.41233714535447 11.98560204038104, 48.41231489088796 11.98561276921697, 48.41232557303322 11.98565166124754)))","MULTILINESTRING ((48.41233714535447 11.98560204038104, 48.41234515696016 11.9856462968296))",-8862989549396970.0,35.0
8,682,203,2020-09-01 11:11:52,"MULTIPOLYGON (((48.41231489088796 11.98561276921697, 48.4123024283825 11.98562081584393, 48.41230865963574 11.98566104897898, 48.41232557303322 11.98565166124754, 48.41231489088796 11.98561276921697)))","MULTILINESTRING ((48.4123024283825 11.98562081584393, 48.41230865963574 11.98566104897898))",8993445341331520.0,35.0
9,683,204,2020-09-01 11:11:54,"MULTIPOLYGON (((48.41244421316422 11.98569851225274, 48.41240860608826 11.98574813311915, 48.41243798192792 11.98576288526878, 48.41241572750576 11.98583798712075, 48.41243887210501 11.98589431350988, 48.41249050232634 11.98583262270303, 48.41244421316422 11.98569851225274)))","MULTILINESTRING ((48.41241572750576 11.98583798712075, 48.41243887210501 11.98589431350988))",1.03289696802218e+16,35.0
